;;;;;;;;
;;;;;;;;
Periodekalender;2025;;;;;;;
Kapittel Beskrivelse;All;;;;;;;
Kontonummer;(Flere elementer);;;;;;;
;;;;;;;;
Kontantbeløp;Kolonneetiketter;;;;;;;
;Bufetat;;;;;Bufdir;Totalsum;
Radetiketter;Region Midt-Norge;Region Nord;Region Sør;Region Vest;Region Øst;;;
Leie av lokaler og tilknyttede utgifter;;;;;;;;
Leie lokaler andre utleiere;  37 081 726;  24 317 541;  30 912 572;  27 928 463;  64 481 998;  28 488 729;  213 211 028;
Leie lokaler fra Statsbygg;  16 608 750;  35 010 270;  29 949 269;  24 439 477;  28 445 185;;  134 452 952;
Fellesutgifter (BAD) Statsbygg;  4 328 565;  6 057 007;  11 316 015;  9 207 848;  8 612 775;;  39 522 210;
Fellesutgifter andre utleiere;  5 876 114;  3 079 092;  4 359 537;  4 451 859;  9 399 733;  1 320 598;  28 486 933;
Strøm og oppvarming;  2 826 827;  3 687 996;  6 080 561;  5 482 955;  9 609 151;   700 368;  28 387 858;
Renhold lokaler;  2 488 119;  4 239 644;  4 095 570;  1 906 353;  6 638 111;   782 167;  20 149 965;
Reparasjon og vedlikehold leide lokaler;  5 476 728;   848 757;  2 176 295;   524 575;  2 706 070;   33 648;  11 766 073;
Annen kostnad lokaler;  2 336 554;   689 969;  3 616 024;   501 628;  1 319 459;   271 036;  8 734 671;
Leie parkeringsplass;   181 188;   415 563;  2 721 164;   475 704;   388 246;;  4 181 864;
Vakthold lokaler;   157 852;   94 634;   903 903;   172 093;   704 061;   38 335;  2 070 878;
Vaktmestertjenester;   720 203;   496 234;   332 355;   17 810;   226 340;   1 425;  1 794 368;
Renovasjon, vann, avløp o.l.;   265 631;   365 748;   386 012;   236 562;   465 156;;  1 719 109;
Reparasjon og vedlikehold av anlegg, også serviceavtaler;   504 088;   201 090;   294 373;   102 618;   94 319;;  1 196 489;
Kontor og administrasjon;;;;;;;;
Reparasjon og vedlikehold av verktøy og maskiner, inkl serviceavtaler;   101 922;   167 191;   175 904;   293 668;   200 777;   3 855;   943 317;
IKT;;;;;;;;
Reparasjon og vedlikehold av datautstyr, inkl. serviceavtaler;   43 723;   223 066;   384 998;   60 250;   190 872;-   48 886;   854 023;
Totalsum;  78 997 990;  79 893 802;  97 704 552;  75 801 863;  133 482 253;  31 591 274;  497 471 735;
